epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.13657,0.98531,2.64979,1.31204,0.55859,0.85,0.87771,0.63475,1.65648,1.07208,1.37986,0,0,0
2,7.68619,1.0359,3.26382,1.38105,0.55588,0.85,0.88554,0.63519,1.66774,1.06964,1.38506,1.17822e-06,1.17822e-06,1.17822e-06
3,10.8511,1.37507,2.78308,1.77383,0.55098,0.85,0.84963,0.61708,1.68671,1.07889,1.39134,2.33288e-06,2.33288e-06,2.33288e-06
4,14.0178,1.49734,3.00138,2.07227,0.54808,0.85,0.85442,0.63765,1.69516,1.07136,1.39336,3.46397e-06,3.46397e-06,3.46397e-06
5,17.1787,1.4898,3.27027,1.93839,0.53904,0.85,0.8556,0.63813,1.67399,1.05249,1.36678,4.5715e-06,4.5715e-06,4.5715e-06
6,20.4001,1.17605,2.70744,1.47858,0.81692,0.646,0.85883,0.6262,1.65404,1.04661,1.35421,5.65548e-06,5.65548e-06,5.65548e-06
7,23.565,1.16074,2.38658,1.42361,0.55728,0.85,0.87301,0.62621,1.65402,1.05057,1.35584,6.71588e-06,6.71588e-06,6.71588e-06
8,26.7779,0.97999,2.4398,1.23915,0.58024,0.86497,0.85958,0.62778,1.6564,1.06463,1.35943,7.75273e-06,7.75273e-06,7.75273e-06
9,31.3031,1.11782,3.69723,1.47573,0.77971,0.65,0.89436,0.62928,1.63646,1.04142,1.34381,8.76602e-06,8.76602e-06,8.76602e-06
10,35.5611,1.00045,2.41555,1.24257,0.77022,0.65,0.89449,0.63083,1.63849,1.05183,1.34345,9.75574e-06,9.75574e-06,9.75574e-06
11,42.3775,1.13116,2.82029,1.39536,0.65712,0.77829,0.90973,0.63379,1.63797,1.05404,1.3406,1.07219e-05,1.07219e-05,1.07219e-05
12,49.4102,0.89183,2.15061,1.28148,0.6605,0.77886,0.9117,0.64542,1.63984,1.07705,1.34133,1.16645e-05,1.16645e-05,1.16645e-05
13,55.9013,0.9101,1.89922,1.43238,0.65708,0.77762,0.91168,0.64752,1.62215,1.08226,1.32987,1.25835e-05,1.25835e-05,1.25835e-05
14,64.3524,0.99118,2.22389,1.38587,0.70585,0.74633,0.9126,0.65251,1.61085,1.08472,1.32725,1.3479e-05,1.3479e-05,1.3479e-05
15,72.2068,1.02502,1.86097,1.39361,0.70694,0.74827,0.91272,0.64828,1.61262,1.09384,1.32926,1.43509e-05,1.43509e-05,1.43509e-05
16,79.0935,1.0456,2.2248,1.5599,0.81075,0.65,0.9128,0.6314,1.62124,1.10552,1.33204,1.51993e-05,1.51993e-05,1.51993e-05
17,86.0372,0.93353,2.22666,1.34973,0.82569,0.65,0.91253,0.63304,1.63291,1.10684,1.3361,1.60241e-05,1.60241e-05,1.60241e-05
18,90.1442,1.14843,2.48803,1.46635,0.82569,0.65,0.91253,0.63304,1.63291,1.10684,1.3361,1.68253e-05,1.68253e-05,1.68253e-05
19,93.8763,1.05771,1.51505,1.27482,0.81319,0.65,0.91247,0.62528,1.63188,1.13754,1.33744,1.7603e-05,1.7603e-05,1.7603e-05
20,97.4412,1.00662,1.50865,1.28616,0.81319,0.65,0.91247,0.62528,1.63188,1.13754,1.33744,1.83571e-05,1.83571e-05,1.83571e-05
21,101.135,1.16383,3.17997,1.50471,0.82473,0.65,0.91063,0.62685,1.64863,1.15479,1.34516,1.90876e-05,1.90876e-05,1.90876e-05
22,106.064,0.97726,1.77394,1.49672,0.82473,0.65,0.91063,0.62685,1.64863,1.15479,1.34516,1.97946e-05,1.97946e-05,1.97946e-05
23,110.043,1.04375,2.016,1.30425,0.82477,0.65,0.8548,0.61224,1.66772,1.20425,1.36259,2.0478e-05,2.0478e-05,2.0478e-05
24,113.629,1.05492,1.65403,1.38153,0.82477,0.65,0.8548,0.61224,1.66772,1.20425,1.36259,2.11379e-05,2.11379e-05,2.11379e-05
